R4A_Id	CompoundID	PLD_Effect(%)_A549-ACE2	Label_A549-ACE2	HIT_Phospholipidosis  Y/N	CompoundID_dupl	NAME	PLD_Effect(%)_VERO-E6	Label_VERO-E6
R4A_0003450_001	SPE_K94948151	-0.008398496	inactive	N	SPE_K94948151	Macelignan	-2.28	inactive
R4A_0005008_001	SPE_K00519864	-0.019559118	inactive	N	SPE_K00519864	Peramivir Trihydrate	-2.33	inactive
R4A_0001977_001	SPE_K57432881	-0.112722659	inactive	N	SPE_K57432881	TIAPRIDE HYDROCHLORIDE	-4.53	inactive
R4A_0004508_001	SPE_K35775715	-0.084143654	inactive	N	SPE_K35775715	Liranaftate	-7.28	inactive
R4A_0004573_001	SPE_K48059230	-0.024332501	inactive	N	SPE_K48059230	YM-298198-desmethyl	-5.2	inactive
R4A_0000879_001	SPE_A98427211	-0.071653912	inactive	N	SPE_A98427211	Suplatast (Tosylate)	-1.75	inactive
R4A_0003488_001	SPE_K65331431	-0.004276644	inactive	N	SPE_K65331431	RETINYL ACETATE	-3.31	inactive
R4A_0001742_001	SPE_K75097983	-0.000936354	inactive	N	SPE_K75097983	promestriene	-0.32	inactive
R4A_0002360_001	SPE_K46791647	0.012148612	inactive	N	SPE_K46791647	stanozolol	-1.1	inactive
R4A_0003159_001	SPE_K01109406	0.053147331	inactive	N	SPE_K01109406	Nitisinone	-5.98	inactive
R4A_0000001_001	SPE_K13087974	-0.108673817	inactive	N	SPE_K13087974	CGP-52411	-7.23	inactive
R4A_0000083_001	SPE_K37991163	-0.081301806	inactive	N	SPE_K37991163	PAROXETINE HYDROCHLORIDE	13.84	inactive
R4A_0004169_001	SPE_A86665761	-0.108345492	inactive	N	SPE_A86665761	gabapentin-enacarbil	-4.68	inactive
R4A_0001675_001	SPE_K83459933	-0.082182713	inactive	N	SPE_K83459933	Sinomenine (Cucoline)	-3.29	inactive
R4A_0001653_001	SPE_K12885236	-0.055821461	inactive	N	SPE_K12885236	Dapivirine (TMC120)	32.3	inactive
R4A_0003957_001	SPE_A07440155	-0.078813319	inactive	N	SPE_A07440155	LABETALOL HYDROCHLORIDE	-2.33	inactive
